Metric;Path;Entity;Signature;LineNo;Value;Violation
NCS;wizmachine/data/sprdata.cs;SetVersionInfoStr;void WizMachine.Data.US_SprFileHead.SetVersionInfoStr(System.Char[]);23;2;N
NCS;wizmachine/data/sprdata.cs;SetVersionInfoStr;void WizMachine.Data.US_SprFileHead.SetVersionInfoStr(System.Byte[]);31;2;N
NCS;wizmachine/data/sprdata.cs;SetReserved;void WizMachine.Data.US_SprFileHead.SetReserved(System.Byte[]);39;2;N
NCS;wizmachine/data/sprdata.cs;GetVersionInfoStr;System.String WizMachine.Data.US_SprFileHead.GetVersionInfoStr();47;2;N
NCS;wizmachine/data/sprdata.cs;GetVersionInfo;System.Byte[] WizMachine.Data.US_SprFileHead.GetVersionInfo();58;2;N
NCS;wizmachine/data/sprdata.cs;GetReserved;System.Byte[] WizMachine.Data.US_SprFileHead.GetReserved();68;2;N
NCS;wizmachine/data/sprdata.cs;SprFileHead;WizMachine.Data.SprFileHead.SprFileHead(System.Byte[],System.UInt16,System.UInt16,System.Int16,System.Int16,System.UInt16,System.UInt16,System.UInt16,System.UInt16,System.Byte[]);104;1;N
NCS;wizmachine/data/sprdata.cs;get_modifiedSprFileHeadCache;WizMachine.Data.SprFileHead.SprFileHeadCache WizMachine.Data.SprFileHead.get_modifiedSprFileHeadCache();94;2;N
NCS;wizmachine/data/sprdata.cs;ToUnsafe;WizMachine.Data.US_SprFileHead WizMachine.Data.SprFileHead.ToUnsafe();127;1;N
NCS;wizmachine/data/sprdata.cs;IsNotEmpty;System.Boolean WizMachine.Data.SprFileHead.IsNotEmpty();147;1;N
NCS;wizmachine/data/sprdata.cs;CreateSprFileHead;WizMachine.Data.SprFileHead WizMachine.Data.SprFileHead.CreateSprFileHead();152;1;N
NCS;wizmachine/data/sprdata.cs;SprFileHeadCache;WizMachine.Data.SprFileHead.SprFileHeadCache.SprFileHeadCache(WizMachine.Data.SprFileHead);168;1;N
NCS;wizmachine/data/sprdata.cs;get_globalWidth;System.UInt16 WizMachine.Data.SprFileHead.SprFileHeadCache.get_globalWidth();190;1;N
NCS;wizmachine/data/sprdata.cs;set_globalWidth;void WizMachine.Data.SprFileHead.SprFileHeadCache.set_globalWidth();194;1;N
NCS;wizmachine/data/sprdata.cs;get_globalHeight;System.UInt16 WizMachine.Data.SprFileHead.SprFileHeadCache.get_globalHeight();201;1;N
NCS;wizmachine/data/sprdata.cs;set_globalHeight;void WizMachine.Data.SprFileHead.SprFileHeadCache.set_globalHeight();205;1;N
NCS;wizmachine/data/sprdata.cs;get_offX;System.Int16 WizMachine.Data.SprFileHead.SprFileHeadCache.get_offX();212;1;N
NCS;wizmachine/data/sprdata.cs;set_offX;void WizMachine.Data.SprFileHead.SprFileHeadCache.set_offX();216;1;N
NCS;wizmachine/data/sprdata.cs;get_offY;System.Int16 WizMachine.Data.SprFileHead.SprFileHeadCache.get_offY();223;1;N
NCS;wizmachine/data/sprdata.cs;set_offY;void WizMachine.Data.SprFileHead.SprFileHeadCache.set_offY();227;1;N
NCS;wizmachine/data/sprdata.cs;get_Interval;System.UInt16 WizMachine.Data.SprFileHead.SprFileHeadCache.get_Interval();234;1;N
NCS;wizmachine/data/sprdata.cs;set_Interval;void WizMachine.Data.SprFileHead.SprFileHeadCache.set_Interval();238;1;N
NCS;wizmachine/data/sprdata.cs;get_FrameCounts;System.UInt16 WizMachine.Data.SprFileHead.SprFileHeadCache.get_FrameCounts();245;1;N
NCS;wizmachine/data/sprdata.cs;set_FrameCounts;void WizMachine.Data.SprFileHead.SprFileHeadCache.set_FrameCounts();249;1;N
NCS;wizmachine/data/sprdata.cs;ToSprFileHead;WizMachine.Data.SprFileHead WizMachine.Data.SprFileHead.SprFileHeadCache.ToSprFileHead();255;1;N
NCS;wizmachine/data/sprdata.cs;ToUnsafe;WizMachine.Data.US_SprFileHead WizMachine.Data.SprFileHead.SprFileHeadCache.ToUnsafe();260;1;N
NCS;wizmachine/data/sprdata.cs;InitFromSprFileHead;void WizMachine.Data.SprFileHead.SprFileHeadCache.InitFromSprFileHead(WizMachine.Data.SprFileHead);280;1;N
NCS;wizmachine/data/sprdata.cs;PaletteColor;WizMachine.Data.PaletteColor.PaletteColor(System.Byte,System.Byte,System.Byte,System.Byte);294;1;N
NCS;wizmachine/data/sprdata.cs;op_Equality;System.Boolean WizMachine.Data.PaletteColor.op_Equality(WizMachine.Data.PaletteColor,WizMachine.Data.PaletteColor);302;1;N
NCS;wizmachine/data/sprdata.cs;op_Inequality;System.Boolean WizMachine.Data.PaletteColor.op_Inequality(WizMachine.Data.PaletteColor,WizMachine.Data.PaletteColor);307;1;N
NCS;wizmachine/data/sprdata.cs;Equals;System.Boolean WizMachine.Data.PaletteColor.Equals(System.Object);312;3;N
NCS;wizmachine/data/sprdata.cs;GetHashCode;System.Int32 WizMachine.Data.PaletteColor.GetHashCode();330;1;N
NCS;wizmachine/data/sprdata.cs;Palette;WizMachine.Data.Palette.Palette(System.Int32);392;1;N
